marker,entropy_pos_X,entropy_vel_X,mean_vel_X,entropy_pos_Y,entropy_vel_Y,mean_vel_Y,entropy_pos_Z,entropy_vel_Z,mean_vel_Z,Groups,trail,subjects
6,0.016356585,0.34042505,0.000190977,0.028384253,0.405909327,-6.61E-06,0.047249995,0.599641041,0.000133697,traditional,7,11
7,0.015170927,0.453008365,0.000688631,0.014032756,0.610611452,0.000105393,0.046618648,0.586770284,0.000168398,traditional,8,11
8,0.027707575,0.301579188,0.000585777,0.02721496,0.24065666,0.000101827,0.037646327,0.548492088,0.000198119,traditional,9,11
9,0.026807038,0.296845274,0.000464237,0.022293489,0.291835011,1.40E-05,0.03415999,0.312288486,0.000575112,traditional,10,11
10,0.006570029,0.23077849,0.000171448,0.008482032,0.186134225,8.39E-05,0.018317771,0.204231931,-5.12E-05,human_like,1,11
11,0.014066724,0.133515706,-0.000188377,0.023573739,0.274330324,0.000404186,0.031608253,0.267256068,0.000341036,human_like,2,11
12,0.011637812,0.261531472,0.000227522,0.018554284,0.210206747,0.00016499,0.033315377,0.324477479,7.33E-06,human_like,3,11
13,0.015895141,0.218200713,0.000376523,0.026300444,0.423891108,0.000114282,0.040705061,0.306167703,0.000121238,human_like,4,11
14,0.015635225,0.304048815,0.000297576,0.016544694,0.250459433,0.000186527,0.032174683,0.267361875,0.000333841,human_like,5,11
15,0.017794343,0.445116087,0.000401879,0.018819182,0.274799568,0.000265083,0.045856634,0.24271007,0.000155571,human_like,6,11
16,0.011323023,0.288626996,0.000303311,0.020596431,0.337720957,2.53E-05,0.030509844,0.353239133,0.000414356,human_like,7,11
17,0.020402932,0.245464511,0.000648868,0.030203985,0.316966177,4.87E-05,0.046885523,0.398809924,2.46E-05,human_like,8,11
18,0.011994698,0.27034335,0.000144951,0.019321965,0.183327878,9.57E-05,0.032900395,0.217223571,0.000248347,human_like,9,11
19,0.008270532,0.395080449,0.000557759,0.016451983,0.31459347,0.00024127,0.037638127,0.422277888,0.000104211,human_like,10,11
0,0.011328371,0.333108173,0.000486713,0.022356568,0.554021111,-0.000199112,0.045158501,0.702953478,5.08E-05,traditional,1,12
1,0.010431468,0.262059572,0.00051468,0.017488422,0.257948924,-0.00042699,0.048963954,0.86739904,0.000214018,traditional,2,12
2,0.009687744,0.184723209,0.000596797,0.015080966,0.270074955,-0.000627402,0.050107965,0.815596924,0.000219967,traditional,3,12
3,0.01014371,0.173598863,0.000571994,0.017339404,0.1548393,-0.000278121,0.051865315,0.580784019,0.00020139,traditional,4,12
4,0.011438351,0.340977945,0.000451862,0.021575954,0.310613233,-0.000412975,0.056856555,0.752625024,0.000230965,traditional,5,12
5,0.01424353,0.177068644,0.000593416,0.023326456,0.213672309,-0.000497149,0.056883283,0.547455069,7.81E-05,traditional,6,12
6,0.016226976,0.389299066,0.000743748,0.028205542,0.534898328,-0.000565176,0.062271926,0.633107382,0.000102259,traditional,7,12
7,0.015405975,0.17372298,0.000681444,0.03003438,0.246790179,-0.000659905,0.058735901,0.749372924,0.000237311,traditional,8,12
8,0.015393658,0.186461362,0.00063878,0.017741247,0.209280716,-0.000576903,0.057592977,0.696414237,0.000398289,traditional,9,12
9,0.017601856,0.171844888,0.000780203,0.03938542,0.53662023,-0.000342875,0.063175734,0.648487884,0.000138854,traditional,10,12
10,0.011815912,0.343485264,0.000187469,0.022112169,0.319325595,-0.000122302,0.045019727,0.540445982,0.00011984,human_like,1,12
11,0.010953952,0.242606074,0.000639149,0.021918434,0.397802366,-8.11E-05,0.052089834,0.522705636,0.00029316,human_like,2,12
12,0.009974607,0.290330659,0.000118933,0.022583858,0.376601145,-0.000209981,0.059874823,0.414025768,0.000540416,human_like,3,12
13,0.01041577,0.272798021,-0.000316975,0.030769687,0.507518484,-0.000455989,0.060792472,0.492228117,0.0002267,human_like,4,12
14,0.016917683,0.282376655,-0.00056385,0.028475215,0.499423068,-0.000471961,0.056426963,0.585577343,0.000724042,human_like,5,12
15,0.010578676,0.329033563,-0.000400948,0.028062438,0.536860489,-0.000344812,0.041878989,0.599743159,0.000428709,human_like,6,12
16,0.008654758,0.271977886,0.000517334,0.035853419,0.446682696,-0.000305175,0.06044123,0.404091583,0.00029137,human_like,7,12
17,0.016175645,0.223210752,0.000441873,0.039633503,0.333211501,-0.0001774,0.066136604,0.461479366,0.00032846,human_like,8,12
18,0.0144226,0.246046466,0.000478098,0.031796866,0.393107697,-0.00043375,0.063954275,0.380851431,0.000474161,human_like,9,12
19,0.015334532,0.235271633,-0.000483725,0.028142243,0.510381245,-0.000799149,0.050930473,0.363503099,0.000494833,human_like,10,12
0,0.032663564,0.310772222,-0.001224236,0.036101518,0.253779253,0.000282543,0.056011597,0.348490429,0.00078083,traditional,1,13
1,0.026201103,0.297060752,-0.000902594,0.043416257,0.35200026,-0.000700049,0.090164732,0.308141573,0.000402494,traditional,2,13
2,0.023562133,0.212762355,-0.000945228,0.042474709,0.46560429,-0.000778972,0.099534771,0.47591165,0.000399401,traditional,3,13
3,0.019445292,0.247141198,-0.000753287,0.04229088,0.561725992,-0.000676952,0.074561515,0.368005904,0.000525873,traditional,4,13
4,0.024494528,0.270318789,-0.00085162,0.042209609,0.552416914,-0.000788542,0.073191649,0.423446701,0.000401969,traditional,5,13
5,0.023373792,0.211227838,-0.000868627,0.044147004,0.536550029,-0.000737103,0.087512792,0.518231759,0.000548207,traditional,6,13
6,0.026387204,0.222408373,-0.000922984,0.046018766,0.556137164,-0.000814788,0.090017006,0.489630723,0.000467054,traditional,7,13
7,0.025519353,0.242532328,-0.000907282,0.043281773,0.456488081,-0.00079841,0.080468407,0.47569381,0.00043126,traditional,8,13
8,0.026443451,0.251096985,-0.000940133,0.04930115,0.490728967,-0.000811351,0.07682749,0.5109784,0.000440673,traditional,9,13
9,0.024532255,0.301659949,-0.000938645,0.041670411,0.68234616,-0.001015592,0.083422251,0.441689022,0.000440904,traditional,10,13
10,0.01222774,0.369086993,-0.000168829,0.040549347,0.318200015,-4.22E-05,0.058498138,0.325165467,0.000398708,human_like,1,13
11,0.013264434,0.235790874,-0.00042015,0.03695672,0.411718473,-0.000522403,0.050787014,0.325639528,0.000611848,human_like,2,13
12,0.014705364,0.215781595,-0.000445244,0.029456208,0.349358183,-0.000469138,0.048523171,0.386688484,0.000597277,human_like,3,13
13,0.017914468,0.258729346,-0.000501093,0.046603827,0.499354919,-0.000485007,0.064924337,0.37050384,0.001048648,human_like,4,13
14,0.017174206,0.23279002,-0.000408078,0.042710855,0.365846161,-0.00066118,0.064873017,0.382262358,0.001059588,human_like,5,13
15,0.02077138,0.179397646,-0.000609052,0.042153317,0.290768062,-0.001011537,0.091168373,0.542759753,0.000946888,human_like,6,13
16,0.018539906,0.227114531,-0.000480417,0.049959231,0.357172909,-0.000357464,0.080278951,0.507698228,0.001101532,human_like,7,13
17,0.020641042,0.27670876,-0.000410306,0.032229482,0.270081351,-0.000299991,0.074336682,0.407121531,0.000843548,human_like,8,13
18,0.028382777,0.262934466,-0.000473106,0.04885117,0.429318864,-0.000487612,0.079118168,0.363181629,0.000752792,human_like,9,13
19,0.033008642,0.173140435,-0.000747564,0.03410398,0.193210336,-0.000456055,0.041212592,0.246594872,0.000427426,human_like,10,13
0,0.012238264,0.366600202,0.000122986,0.025172903,0.465256687,3.36E-05,0.037737726,0.534005646,6.61E-05,traditional,1,14
1,0.014656585,0.325431844,0.00070803,0.02127221,0.344192288,0.000237406,0.051299534,0.502223295,0.000245913,traditional,2,14
2,0.019551238,0.171194985,-0.000550596,0.027858656,0.30334472,-0.000388579,0.054833096,0.42370897,0.000260607,traditional,3,14
3,0.029261597,0.237157721,-0.000842738,0.051117532,0.567680833,-0.000592265,0.044547776,0.722320483,0.000592084,traditional,4,14
4,0.027499122,0.225919168,-0.000954868,0.032119401,0.489874423,-0.00093587,0.072672689,0.422893968,0.000439179,traditional,5,14
5,0.031631074,0.283827018,-0.001185459,0.049082445,0.380224826,0.000616318,0.086733306,0.678538903,0.000741579,traditional,6,14
6,0.027704443,0.189233128,-0.001017929,0.063265729,0.511142531,-7.32E-05,0.105752533,0.739688637,0.000514028,traditional,7,14
7,0.022156595,0.257477776,-0.000868814,0.042416693,0.316778157,8.23E-05,0.077156703,0.516491874,0.000402574,traditional,8,14
8,0.029171629,0.280979756,-0.001268722,0.065788626,0.530453772,9.08E-05,0.103699922,0.618592797,0.000656518,traditional,9,14
9,0.024049404,0.147913259,-0.000911002,0.051688879,0.429929633,0.000133392,0.098404414,0.59338832,0.000429321,traditional,10,14
10,0.012417457,0.298855148,-0.000476438,0.024989345,0.400927174,-8.26E-05,0.034033919,0.650500374,0.000280979,human_like,1,14
11,0.009940865,0.345028731,-0.000760004,0.022781561,0.37442415,-9.62E-05,0.028719682,0.393361363,0.000427151,human_like,2,14
12,0.015615701,0.270078616,0.000399553,0.026399009,0.29871283,-6.55E-05,0.060538305,0.531364308,0.000368945,human_like,3,14
13,0.018265615,0.242982947,0.000445899,0.034340432,0.234308137,-8.73E-06,0.050771224,0.477686965,0.000542383,human_like,4,14
14,0.007572219,0.136532767,0.000302656,0.018321145,0.211809505,-6.62E-05,0.040220079,0.293609475,0.000208622,human_like,5,14
15,0.020003302,0.250723403,0.000451605,0.039105243,0.355737376,0.000127445,0.052053266,0.370941744,0.000205866,human_like,6,14
16,0.022381766,0.342853545,0.00051191,0.045256958,0.461019237,-0.000169678,0.055917724,0.598788705,0.000508595,human_like,7,14
17,0.019754825,0.146326759,0.000560227,0.040809721,0.240716505,-0.000161431,0.05854245,0.54483207,0.000379224,human_like,8,14
18,0.01307596,0.142694389,0.000407682,0.020953315,0.204860167,-7.17E-05,0.034123543,0.261063011,0.000220477,human_like,9,14
19,0.009814688,0.157957775,0.000328383,0.013375632,0.142111497,-1.41E-05,0.026545861,0.254459512,0.000387319,human_like,10,14
0,0.021793612,0.303240098,-0.000855906,0.0330373,0.512099041,0.000318394,0.078105399,0.304998175,0.000297307,traditional,1,15
1,0.02483857,0.307395645,-0.001186262,0.025895706,0.304030976,0.000567803,0.078832717,0.381136595,0.000710575,traditional,2,15
2,0.032132324,0.534004846,-0.002099914,0.034486176,0.379067095,0.000602995,0.089071073,0.548958493,0.00112151,traditional,3,15
3,0.04114331,0.318619007,-0.00205732,0.042559614,0.387123449,0.000966707,0.12373176,0.43521845,0.001799638,traditional,4,15
4,0.06573554,0.369336384,-0.001767122,0.050020069,0.29705399,0.001041529,0.144272948,0.503078652,0.001763292,traditional,5,15
5,0.025787065,0.309388402,-0.001189925,0.026827242,0.494836519,0.000438053,0.058197069,0.465365295,0.000817535,traditional,6,15
6,0.025804651,0.502366834,-0.001550007,0.036696487,0.455279575,0.000718541,0.093830815,0.414248425,0.001418536,traditional,7,15
7,0.025857033,0.338797356,-0.001419726,0.032472939,0.304457307,0.000728873,0.074456754,0.425646751,0.001291719,traditional,8,15
8,0.01999305,0.272057249,-0.001483928,0.036805257,0.328548486,0.000672763,0.065582381,0.360420563,0.001192617,traditional,9,15
9,0.030263991,0.265595073,-0.001619509,0.03713623,0.261525038,0.000969977,0.085565245,0.629392666,0.001521313,traditional,10,15
10,0.007702705,0.140499252,0.000221194,0.012628887,0.288950243,9.92E-05,0.038744125,0.466733594,0.000121519,human_like,1,15
11,0.01401064,0.201361544,0.000778603,0.023243715,0.344958354,5.33E-05,0.066164946,0.383037857,0.00046077,human_like,2,15
12,0.01879093,0.33173243,0.000711077,0.035382936,0.508093105,-0.000256263,0.095784683,0.564914969,0.000570499,human_like,3,15
13,0.032401954,0.2396634,0.000472446,0.060604593,0.472877058,0.000702129,0.143498266,0.605107802,0.000701286,human_like,4,15
14,0.025886291,0.240836356,0.000537094,0.044586273,0.262158587,0.000451815,0.098010578,0.554599276,0.000304489,human_like,5,15
15,0.021293549,0.331618017,0.000530112,0.042481746,0.532836991,0.000170058,0.080303189,0.429587749,0.000528827,human_like,6,15
16,0.010720576,0.308274518,0.000484314,0.026708631,0.492182022,9.75E-05,0.063720133,0.46642234,0.0003018,human_like,7,15
17,0.015721162,0.24403713,-0.000981797,0.024706905,0.309144833,0.000229599,0.068621759,0.513562357,0.000605933,human_like,8,15
18,0.017014952,0.229491396,-0.001346437,0.029393816,0.317500187,0.000112684,0.074341754,0.516445961,0.000844091,human_like,9,15
19,0.023618572,0.257743326,-0.001776101,0.033431606,0.280594729,0.000252061,0.107997999,0.592578153,0.001088183,human_like,10,15
0,0.013238889,0.165422482,0.000370699,0.022491968,0.20308974,0.000234294,0.023989578,0.357221999,0.00027633,traditional,1,16
1,0.008272309,0.278690613,0.000298764,0.014573564,0.208381779,8.94E-05,0.024448607,0.273751426,0.000237289,traditional,2,16
2,0.014123609,0.209949152,0.000379575,0.023648967,0.108006447,0.00020425,0.041630294,0.370041861,0.000275532,traditional,3,16
3,0.014824652,0.229532346,0.000577717,0.022647112,0.155872092,9.06E-05,0.0468663,0.442883365,0.000467461,traditional,4,16
4,0.024569679,0.130947336,0.000762461,0.046319207,0.185433797,0.00049462,0.047667974,0.207401184,0.000788751,traditional,5,16
5,0.016928705,0.207058701,0.000777715,0.037470654,0.171495711,0.000348871,0.050466324,0.281941847,0.000649456,traditional,6,16
6,0.019454141,0.173233315,0.000588494,0.034939017,0.177024616,0.000289108,0.036987077,0.315777295,0.000377581,traditional,7,16
7,0.020501743,0.193608221,0.000628103,0.0438432,0.183392053,0.000566329,0.038070347,0.193613321,0.000591874,traditional,8,16
8,0.019788551,0.261671851,0.00104866,0.049599657,0.211175635,0.000392976,0.065269956,0.306797141,0.000857585,traditional,9,16
9,0.017928143,0.17343968,0.000770759,0.036066489,0.146336955,0.000419285,0.037295915,0.313061726,0.000652051,traditional,10,16
10,0.016645922,0.185898782,0.000269977,0.016779272,0.339109487,0.000147745,0.037741076,0.209640422,0.000183576,human_like,1,16
11,0.018268698,0.10098315,0.000507269,0.03054194,0.2098611,0.000302967,0.048791537,0.25185614,0.000213156,human_like,2,16
12,0.019813581,0.320719931,0.000529082,0.03369067,0.358530399,1.10E-05,0.050353982,0.255134295,0.00074452,human_like,3,16
13,0.030031528,0.215298056,0.000793476,0.046627188,0.301476072,0.000334774,0.057454279,0.352956869,0.000863527,human_like,4,16
14,0.02397269,0.180425747,0.000670718,0.031877402,0.151029587,2.89E-05,0.054206004,0.239067708,0.000271866,human_like,5,16
15,0.015538748,0.185483379,0.000553598,0.029714112,0.335642902,-3.50E-05,0.040671868,0.272063119,0.000707854,human_like,6,16
16,0.018428999,0.2778128,0.000467862,0.040322081,0.404244814,9.57E-07,0.046531229,0.28764664,0.000516973,human_like,7,16
17,0.020788304,0.222903783,0.000644226,0.038093385,0.229865629,0.000219105,0.058964554,0.33527521,6.05E-05,human_like,8,16
18,0.014485693,0.204804181,0.000396211,0.050601835,0.285533583,1.04E-05,0.058506546,0.350203242,0.000231949,human_like,9,16
19,0.02061372,0.252491738,0.000547702,0.035319209,0.22606792,0.000180756,0.042181151,0.286418537,0.000581619,human_like,10,16
