marker,entropy_pos_X,entropy_vel_X,mean_vel_X,entropy_pos_Y,entropy_vel_Y,mean_vel_Y,entropy_pos_Z,entropy_vel_Z,mean_vel_Z,Groups,trail,subjects
7,0.012196878,0.154029596,-0.001179248,0.022380081,0.224503171,-0.000314783,0.061637749,0.244897971,0.000511786,traditional,8,3
8,0.012132063,0.344816048,-0.001855699,0.021427387,0.230324538,-0.000374522,0.076372979,0.409911945,0.000604814,traditional,9,3
9,0.015120613,0.257958233,-0.001724198,0.030372335,0.214947075,-0.000597151,0.079134501,0.305818935,0.000659581,traditional,10,3
10,0.005716554,0.207335138,-0.000194634,0.016286826,0.136516271,-0.000104488,0.028032556,0.1613828,0.000141659,human_like,1,3
11,0.015819323,0.198424314,9.40E-05,0.012560471,0.221736859,2.02E-06,0.045438935,0.221466533,0.000306538,human_like,2,3
12,0.010695693,0.270373026,-0.000590329,0.015463293,0.196818462,-0.000256875,0.051596982,0.200203306,0.000303101,human_like,3,3
13,0.009647726,0.118750386,-0.001040274,0.016449001,0.156302841,-0.000240315,0.061832918,0.208653212,0.000234132,human_like,4,3
14,0.009542826,0.359092184,-0.000839825,0.020916085,0.253684378,-8.84E-05,0.070223578,0.249551905,0.000315148,human_like,5,3
15,0.009393388,0.120194618,-0.001205552,0.018621507,0.168450873,-0.000257431,0.07431557,0.267562853,0.000336758,human_like,6,3
16,0.019543485,0.23961046,-0.000750748,0.022082633,0.138515937,-0.000297868,0.080628696,0.159827605,0.000489058,human_like,7,3
17,0.01140182,0.167026041,-0.00142082,0.024162571,0.13549609,-0.000302112,0.079192931,0.339318201,0.000221266,human_like,8,3
18,0.020359174,0.197896387,-0.001328692,0.031597453,0.154802675,-0.000246231,0.080066634,0.166395307,0.000572207,human_like,9,3
19,0.016346089,0.167631751,-0.001304545,0.021733393,0.182817367,-9.11E-05,0.067964959,0.259714188,0.000265449,human_like,10,3
0,0.028671011,0.21770152,-0.000421322,0.051461127,0.211001504,0.000155377,0.058995107,0.273027064,0.000463359,traditional,1,4
1,0.021383721,0.148939264,-0.000615126,0.03982859,0.229187483,-0.000523258,0.05745553,0.285268708,0.000654614,traditional,2,4
2,0.013157142,0.318453731,-0.000863567,0.042742476,0.289042791,-0.000516308,0.068695389,0.25659851,0.000562715,traditional,3,4
3,0.016855115,0.275861568,-0.001008221,0.043610823,0.390345704,-0.00056639,0.069868897,0.431939764,0.000660664,traditional,4,4
4,0.020189031,0.189900458,-0.001365984,0.032634435,0.163606609,-0.000410692,0.076288513,0.267019044,0.000976341,traditional,5,4
5,0.023608273,0.245002179,-0.000996042,0.046643217,0.270841706,-0.000412163,0.059254383,0.26354264,0.00085598,traditional,6,4
6,0.019201501,0.209310325,-0.00091059,0.036539829,0.208035672,-0.000652306,0.047600098,0.270328321,0.000958591,traditional,7,4
7,0.021922669,0.154403492,-0.00179541,0.045856857,0.164192551,-0.00048584,0.083995456,0.263416105,0.001282659,traditional,8,4
8,0.012146858,0.280289864,-0.001178063,0.041579358,0.254301136,-0.000671139,0.055744566,0.309619716,0.001018804,traditional,9,4
9,0.021722157,0.256392736,-0.001124384,0.033674303,0.154791678,-0.000756365,0.069208888,0.420709306,0.001045011,traditional,10,4
10,0.018781847,0.208377409,-7.37E-05,0.033343784,0.26663628,6.45E-05,0.032140363,0.194658286,0.000197583,human_like,1,4
11,0.023295563,0.160120408,-0.00090538,0.037818922,0.128021071,-0.000584061,0.051449399,0.173583257,0.000667716,human_like,2,4
12,0.020769902,0.142462682,-0.000618866,0.033030438,0.148350473,-0.00057589,0.052921574,0.193020409,0.000881617,human_like,3,4
13,0.023998842,0.140188574,-0.000505309,0.035332624,0.144352654,-9.31E-05,0.064157526,0.132473958,0.00063348,human_like,4,4
14,0.018774838,0.162104166,-0.00050928,0.069278821,0.167942314,3.49E-06,0.085468246,0.175979863,0.000492529,human_like,5,4
15,0.025638113,0.145290626,-0.000745783,0.043957794,0.125988637,-0.000579767,0.063465403,0.192532651,0.000976589,human_like,6,4
16,0.028259802,0.162092259,-0.000753531,0.052206997,0.165740132,-0.000702101,0.071417612,0.184193583,0.001058715,human_like,7,4
17,0.014008149,0.182356657,-0.00031511,0.054291856,0.218661485,-0.000115734,0.065231127,0.202208556,0.000334963,human_like,8,4
18,0.020312609,0.11485331,-0.000532984,0.028059973,0.165845732,-0.000529485,0.051252472,0.349975701,0.000666925,human_like,9,4
19,0.016214746,0.207087558,-0.000932316,0.02443644,0.160992776,-0.000218302,0.052724353,0.27913,0.000961762,human_like,10,4
0,0.010366907,0.338594837,0.000264077,0.026055123,0.338014661,0.000131378,0.038565197,0.296092255,0.000170949,traditional,1,5
1,0.013367772,0.230803096,0.000364856,0.022370031,0.223705334,1.70E-05,0.038749512,0.267158445,8.03E-05,traditional,2,5
2,0.013136305,0.30449529,0.000595501,0.023603712,0.191871112,-1.47E-05,0.04326912,0.347927187,0.000391454,traditional,3,5
3,0.016773248,0.35800467,0.001248957,0.032914556,0.294576149,0.00069055,0.074569248,0.406799925,0.00037897,traditional,4,5
4,0.014008075,0.383460746,0.002340528,0.029964311,0.287705884,-0.00011168,0.083638151,0.428519471,0.000150794,traditional,5,5
5,0.018690972,0.310471735,0.002482756,0.05801197,0.290909421,0.000306847,0.104576949,0.388578016,0.000502875,traditional,6,5
6,0.012454942,0.312968327,0.00197734,0.037513721,0.310819839,0.000252151,0.084730064,0.389572647,0.000457779,traditional,7,5
7,0.016087018,0.341265045,0.00167254,0.035814233,0.408069197,0.000896768,0.088928103,0.45613033,0.000511274,traditional,8,5
